"City","Code"
"Bassi","01429"
"Basta","06781"
"Bastanar","07862"
"Basti","05542"
"Baswa","01420"
"Batala","01871"
"Batkakhapa","07169"
"Batlagundu","04543"
"Bawal","01284"
"Bawanikhera","01254"
"Bayad","02779"
"Bayana","05648"
"Bderajpur","07849"
"Beawar","01462"
"Bedarwah","01997"
"Begamganj","07487"
"Begun (N)","01474"
"Begun (S)","01475"
"Begusarai","06243"
"Behror","01494"
"Belgaum","0831"
"Bellampalli","08735"
"Bellary","08392"
"Belonia","03823"
"Belthangady","08256"
"Belur","08177"
"Bemetara","07824"
"Benipatti","06271"
"Benipur","06242"
"Beohari","07650"
"Berasia","07565"
"Berchha","07363"
"Berhampur","0680"
"Berhampur","03482"
"Berla","07825"
"Bermo","06549"
"Betanati","06793"
"Bethuadahari","03474"
"Bettiah","06254"
"Betul","07141"
"Bhabhua","06189"
"Bhachav","02837"
"Bhadohi","05414"
"Bhadra","01504"
"Bhadrachalam","08743"
"Bhadrak","06784"
"Bhadravati","08282"
"Bhadrawati","07175"
"Bhagalpur","0641"
"Bhainsa","08752"
"Bhainsdehi","07143"
"Bhairongarh","07789"
"Bhalki","08484"
"Bhamregadh","07134"
"Bhandara","07184"
"Bhandaria","06581"
"Bhander","07523"
"Bhanjanagar","06821"
"Bhanpura","07427"
"Bhanupratappur","07850"
"Bhanvad","02896"
"Bharathpur","07835"
"Bharatpur","05644"
"Bharmour","01895"
"Bharthana","05680"
"Bharuch","02642"
"Bharwari","05331"
"Bhatapara","07726"
"Bhatinda","0164"
"Bhatkal","08385"
"Bhatwari-I","01374"
"Bhatwari-Ii","01377"
"Bhavani","04256"
"Bhavnagar","0278"
"Bhawanathpur","06563"
"Bhawanipatna","06670"
"Bheemunipatnam","08933"
"Bhikangaon","07288"
"Bhilaigarh","07729"
"Bhiloda","02771"
"Bhilwara","01482"
"Bhim(N)","02951"
"Bhim(S)","02909"
"Bhimadole","08829"
"Bhimavaram","08816"
"Bhimpur","07142"
"Bhind","07534"
"Bhinmal(N)","02969"
"Bhinmal(S)","02990"
"Bhir","02442"
"Bhitarwar","07525"
"Bhiwandi","02522"
"Bhiwani","01664"
"Bhiwapur","07106"
"Bhogaon","05673"
"Bhognipur","05113"
"Bhokar","02467"
"Bhokardan","02485"
"Bhongir","08685"
"Bhoom","02478"
"Bhooragamphad","08746"
"Bhopal","0755"
"Bhopalpatnam","07851"
"Bhor","02113"
"Bhubneshwar","0674"
"Bhudargad","02599"
"Bhuj","02832"
"Bhusawal","02582"
"Biaora","07374"
"Bidar","08482"
"Bidhuna","05681"
"Bidupur","06229"
"Biharsharif","06112"
"Bihupuria","03759"
"Bijadandi","07643"
"Bijapur","07853"
"Bijapur","08352"
"Bijawar","07608"
"Bijaypur","07528"
"Bijni","03668"
"Bijnore-I","01342"
"Bijnore-Ii","01345"
"Bikaner ( C)","01521"
"Bikaner ( E)","01522"
"Bikaner ( N)","01520"
"Bikaner ( S)","0151"
"Bikaner ( W)","01523"
"Bikapur","05270"
"Bikram","06135"
"Bikramganj","06185"
"Bilara(N)","02920"
"Bilara(S)","02930"
"Bilari","05921"
"Bilasipara","03667"
"Bilaspur","07752"
"Bilaspur","01978"
"Bilgram-I","05851"
"Bilgram-Ii","05855"
"Bilhaur","05112"
"Biligi","08425"
"Billimora","02634"
"Billoli","02465"
"Bina","07580"
"Bindki","05181"
"Birmaharajpur","06651"
"Birpara","03563"
"Birpur","06471"
"Birsa","07637"
"Birsinghpur","07655"
"Bisalpur","05881"
"Bisam Cuttack","06863"
"Bisauli","05834"
"Bishanpur","03244"
"Bishenupur","03879"
"Bishrampur","06584"
"Biswan","05863"
"Bitra","04890"
"Boath","08751"
"Bobbili","08944"
"Bodhan","08467"
"Bodla","07740"
"Bokaband","07867"
"Bokajan","03675"
"Bokakhat","03776"
"Bokaro","06542"
"Boko","03621"
"Bolpur","03463"
"Bolwa","06539"
"Bongoan","03215"
"Bonli","07466"
"Boriguma","06860"
"Borsad","02696"
"Botad","02849"
"Boudh","06841"
"Brahmapuri","07177"
"Budhana","01392"
"Budhni","07564"
